name,ticker,region,subsector,status,country
Worldline,WLN.PA,fr,pay,active,France
Ubisoft,UBI.PA,fr,gaming,active,France
Atos,ATO.PA,fr,itserv,active,France
Nexi,NEXI.MI,seur,pay,active,Italy
Endava,DAVA,ukie,itserv,active,UK
SES,SESG.PA,benelux,hw,active,Luxembourg
Trustpilot,TRST.L,ukie,internet,active,UK
Soitec,SOI.PA,fr,semis,active,France
Temenos,TEMN.SW,dach,appsw,active,Switzerland
Wise,WISE.L,ukie,pay,active,UK
AMS-OSRAM,AMS.SW,dach,semis,active,Austria
Sinch,SINCH.ST,nordics,infrasw,active,Sweden
Nordic Semiconductor,NOD.OL,nordics,semis,active,Norway
Allfunds,ALLFG.AS,seur,pay,active,Spain
CD Projekt,CDR.WA,cee,gaming,active,Poland
Nemetschek,NEM.DE,dach,appsw,active,Germany
Cellebrite,CLBT,me,cyber,active,Israel
Bytes Technology,BYIT.L,ukie,itserv,active,UK
Kainos,KNOS.L,ukie,itserv,active,UK
Evolution,EVO.ST,nordics,gaming,active,Sweden
Sopra Steria,SOP.PA,fr,itserv,active,France
Wix.com,WIX,me,internet,active,Israel
Computacenter,CCC.L,ukie,itserv,active,UK
Sage Group,SGE.L,ukie,appsw,active,UK
BE Semiconductor,BESI.AS,benelux,semieq,active,Netherlands
Logitech,LOGN.SW,dach,hw,active,Switzerland
NICE,NICE,me,appsw,active,Israel
Auto Trader Group,AUTO.L,ukie,internet,active,UK
Capgemini,CAP.PA,fr,itserv,active,France
CyberArk,CYBR,me,cyber,active,Israel
Adyen,ADYEN.AS,benelux,pay,active,Netherlands
Dassault Systemes,DSY.PA,fr,appsw,active,France
STMicroelectronics,STMPA.PA,fr,semis,active,France
Infineon,IFX.DE,dach,semis,active,Germany
Hexagon,HEXA-B.ST,nordics,infrasw,active,Sweden
Spotify,SPOT,nordics,internet,active,Sweden
Ericsson,ERIC-B.ST,nordics,hw,active,Sweden
Nokia,NOKIA.HE,nordics,hw,active,Finland
ASML,ASML.AS,benelux,semieq,active,Netherlands
SAP,SAP.DE,dach,appsw,active,Germany
TeamViewer,TMV.DE,dach,appsw,active,Germany
Bechtle,BC8.DE,dach,itserv,active,Germany
CANCOM,COK.DE,dach,itserv,active,Germany
Nagarro,NA9.DE,dach,itserv,active,Germany
Jenoptik,JEN.DE,dach,hw,active,Germany
SUSS MicroTec,SMHN.DE,dach,semieq,active,Germany
VAT Group,VACN.SW,dach,semieq,active,Switzerland
u-blox,UBXN.SW,dach,semis,active,Switzerland
Comet Holding,COTN.SW,dach,semieq,active,Switzerland
Reply,REY.MI,seur,itserv,active,Italy
Amadeus IT,AMS.MC,seur,appsw,active,Spain
Indra Sistemas,IDR.MC,seur,itserv,active,Spain
Rightmove,RMV.L,ukie,internet,active,UK
Halma,HLMA.L,ukie,hw,active,UK
Renishaw,RSW.L,ukie,hw,active,UK
Spectris,SXS.L,ukie,hw,active,UK
Softcat,SCT.L,ukie,itserv,active,UK
GB Group,GBG.L,ukie,appsw,active,UK
Playtech,PTEC.L,ukie,gaming,active,UK
Everplay Group,EVPL.L,ukie,gaming,active,UK
Frontier Developments,FDEV.L,ukie,gaming,active,UK
Tietoevry,TIETO.HE,nordics,itserv,active,Finland
Qt Group,QTCOM.HE,nordics,appsw,active,Finland
WithSecure,WITH.HE,nordics,cyber,active,Finland
Remedy Entertainment,REMEDY.HE,nordics,gaming,active,Finland
Truecaller,TRUE-B.ST,nordics,appsw,active,Sweden
Fortnox,FNOX.ST,nordics,appsw,active,Sweden
Mycronic,MYCR.ST,nordics,semieq,active,Sweden
Paradox Interactive,PDX.ST,nordics,gaming,active,Sweden
Embracer,EMBRAC-B.ST,nordics,gaming,active,Sweden
Stillfront,SF.ST,nordics,gaming,active,Sweden
Knowit,KNOW.ST,nordics,itserv,active,Sweden
Vitec Software,VIT-B.ST,nordics,appsw,active,Sweden
Netcompany,NETC.CO,nordics,itserv,active,Denmark
GN Store Nord,GN.CO,nordics,hw,active,Denmark
Crayon,CRAYN.OL,nordics,itserv,active,Norway
Atea,ATEA.OL,nordics,itserv,active,Norway
Schibsted,SCHA.OL,nordics,internet,active,Norway
AutoStore,AUTO.OL,nordics,hw,active,Norway
Asseco Poland,ACP.WA,cee,appsw,active,Poland
Allegro,ALE.WA,cee,internet,active,Poland
Comarch,CMR.WA,cee,appsw,active,Poland
Check Point,CHKP,me,cyber,active,Israel
Nova,NVMI,me,semieq,active,Israel
Camtek,CAMT,me,semieq,active,Israel
monday.com,MNDY,me,appsw,active,Israel
Global-e Online,GLBE,me,internet,active,Israel
Sapiens,SPNS,me,appsw,active,Israel
Tower Semiconductor,TSEM,me,semis,active,Israel
JFrog,FROG,me,infrasw,active,Israel
Fiverr,FVRR,me,internet,active,Israel
SentinelOne,S,me,cyber,active,US
Prosus,PRX.AS,benelux,internet,active,Netherlands
Teleperformance,TEP.PA,fr,itserv,active,France
Edenred,EDEN.PA,fr,pay,active,France
OVHcloud,OVH.PA,fr,infrasw,active,France
Alten,ATE.PA,fr,itserv,active,France
Wavestone,WAVE.PA,fr,itserv,active,France
